Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50ISXH;;BACH JEAN-SEBASTIEN SUITES ET DANSES  (MUSIQUE EN DIALOGUE AUX CARMÉLITES);"Maitane Sebastián, violoncelle
Laure Thouault, chorégraphie et danse
Fanny Léon, Joss Thao, danse Hip Hop";"En la ravissante Chapelle des Carmélites, joyau du patrimoine toulousain, trois des plus riches époques de la musique -baroque, classique, romantique- sont déclinées à travers le portrait de leurs grands représentants réunis ici par la lettre B.

Au-delà de ce lien alphabétique, le point commun entre ces concerts est le choix des textes, partie intégrante de la vie des compositeurs : la correspondance de la famille Bach, le testament d’Heiligenstadt de Beethoven, les mémoires et lettres de Berlioz. Ce ne sont pas des illustrations littéraires mais bien des pages de l’existence de ces musiciens où les notes mariées aux mots donnent un sens particulier à cette édition qui offre trois créations et un succès déjà reconnu.

Et, pour la première fois ici, un spectacle où le langage n’est pas vocal mais corporel, où les danseurs dialoguent avec le violoncelle, le Hip Hop en harmonie avec les Suites de Bach, danses brillantes et intenses.

Si vous partiez sur une île déserte quelle musique emporteriez-vous ? Les Suites pour violoncelle seul de Bach répondent
de nombreuses personnes !
Et vous pourriez vous recueillir, rêver, philosopher et même
danser à votre gré sur ces pièces universelles et intemporelles,
sarabandes, menuets, gigues, bourrées ou gavottes...
En cette fin de juillet nous vous invitons à partager notre île avec
l’émouvante musicienne basque Maitane Sebastian et des danseurs de Hip Hop. Pour la première fois à Musique en Dialogue
aux Carmélites la musique dialogue non pas avec la voix parlée
mais avec le langage corporel, le corps des danseurs en harmonie avec le violoncelle sur ces danses brillantes et intenses.


MUSIQUE
Jean-Sébastien Bach (1685-1750)
Suites pour violoncelle seul
Suite N° 1 en sol majeur BWV 1007 (1720)
Suite N°3 en do majeur 1009 (1722)
Entracte
Suite N° 5 en do mineur BWV 1011 (1724)

Buvette à l’entracte pour goûter sur place.";2020-09-27;2020-09-27;A 16H00;Le 27/09/2020 - A 16H00;;CHAPELLE DES CARMELITES;;1 Rue du Périgord;;31000;TOULOUSE;Musique;Concert, Spectacle;Musique classique;Jeanne d'Arc / Capitole;43.6075064;1.44326425;05 62 72 23 35 Renseignements 05 61 99 44 00 Haute Garonne Tourisme;;musiquendialogue.festik.net;;De  € à 24,00 €;De  € à 15,00 €  -  De  € à 0,00 €;;43.6075064,1.44326425
FMAMID031V50IPYV;;DADJU;"Report du concert initialement prévue le 17 mars 2020 au Zénith Toulouse Métropole.

Les billets restent valables pour cette nouvelle date.";"Les personnes ne pouvant se rendre au concert reporté, sont invitées à se rapprocher de leur point de vente avant lundi 8 juin 2020 pour un remboursement.

Le premier album de Dadju «Gentleman 2.0», est certifié disque de Diamant en moins d’un an, et est l’un des albums les plus vendus en 2018, avec plus de 650 000 exemplaires écoulés.

Après une Cigale, un Olympia, un Zénith de Paris, un AccorHotels Arena et une tournée des Zénith sold out...
Dadju présente « Compliqué », premier extrait de son nouvel album événement, et vous donne rendez-vous pour une tournée qui s’annonce déjà exceptionnelle à partir du 7 mars 2020 !";2020-10-02;2020-10-02;A 20h.;Le 02/10/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/dadju-2195.html;;;;;43.598264,1.4092542
FMAMID031V50IQU5;;DAVID HALLYDAY - ETERNEL TOUR;Après avoir enflammé la Salle Pleyel, David Hallyday est en concert à Toulouse pour interpréter, en autres tubes, ceux de son dernier album, “J’ai quelque chose à vous dire”.;"Ce cri d’amour est porté par la bouleversante “Ma dernière lettre” dont sa demi-sœur Laura a réalisé le clip. Un événement à ne pas manquer !

En décembre 2018, un an après la disparition de son père, David Hallyday publiait son treizième album, aux allures d’exutoire : “C’est un disque thérapeutique qui m’a permis d’échapper à beaucoup de choses et à une immense tristesse… Je fais ce métier parce que c’est un refuge qui me donne la possibilité d’exprimer mes émotions, moi qui n’aime pas parler…” a-t-il confié sur Chérie FM. “J’ai quelque chose à vous dire” a été composé par ses soins chez lui, dans son studio, et co-réalisé par Pierre Jaconelli, son collaborateur de “Un Paradis / Un enfer” (dont était extraite “Tu ne m’as pas laissé le temps”) et du fameux “Sang pour sang” (disque que David Hallyday avait écrit pour son père, et qui détient le record de ventes d’un album de Johnny). Lionel Florence, Arno Santamaria et Julie d’Aimé ont participé aux textes de ces onze titres pop-rock dont les sonorités rappellent les univers de Coldplay ou Imagine Dragons, et qui ont fait un tabac dès leur première diffusion. Les mots sont forts, parfois durs, en écho à une blessure qui ne se refermera probablement jamais : “Ce n’est pas un album de plus. J’ai franchi quelques montagnes, j’ai laissé derrière moi des choses très douloureuses”. Ce musicien pudique, qui a grandi à Los Angeles auprès de sa mère Sylvie Vartan, a toujours bénéficié d’une gigantesque cote d’amour de la part du public français, et pour cette série de concerts qui fait étape à Deauville, les fans de la nouvelle génération rejoignent ceux de ses débuts. Frissons à prévoir dans ce show placé sous le signe du rock’n’roll et de l’émotion.";2020-11-03;2020-11-03;A 18h;Le 03/11/2020 - A 18h;;CASINO THEATRE BARRIERE;Ile du Ramier;18 chemin de la Loge;;31000;TOULOUSE;;Concert, Spectacle;;;43.5720003;1.4342577;05 61 33 37 77;;www.casinosbarriere.com/fr/toulouse/spectacles-et-animations/concert/david-hallyday.html;;57,50 €;;;43.5720003,1.4342577
FMAMID031V50FQZT;;EAU TOULOUSE !;"Qui n'a jamais fredonné l'air ""à la claire fontaine m'en allant promener"" ?";"Visite proposée par l'agence Paysdoc.com. 

C'est justement une promenade autour de ces jeux d'eau que Christelle notre guide vous propose ! Par une belle soirée, découvrez les secrets de ces joyaux qui décorent la ville de Toulouse, parfois depuis des siècles et des siècles. Les fontaines font, que l'on y croit ou pas, parties de notre Patrimoine. Elles sont visibles à chaque place ou coin de rue, et recèlent de secrets que vous pourrez découvrir.
N'attendez pas que l'eau coule sous les ponts pour venir tester cette toute nouvelle visite à la thématique insolite et rafraichissante ! 

Le lieu de rendez-vous vous sera communiqué par mail 24h à l'avance.
Réservation en ligne obligatoire, les paiements sur place ne sont pas autorisés.

Visite animée par un guide-conférencier diplômé et carté exerçant légalement la profession.";2020-06-06;2020-06-06;De 20h à 22h.;Le 06/06/2020 - De 20h à 22h.;;TOULOUSE;;;;31000;TOULOUSE;Insolite;Visites guidées;;;43.6045238;1.4436719;05 61 73 17 96;;www.paysdoc.com;;12,00 €;;;43.6045238,1.4436719
FMAMID031V50IG44;;EXPOSITION « AU-DELA DES LIMITES »;Dès le 14 décembre 2019, venez revivre quelques grands moments des défis relevés par des pionniers et des aventuriers toujours prêts à repousser les limites.;"EXPOSITION « AU-DELÀ DES LIMITES » : une rencontre inédite avec les pionniers d’hier et les aventuriers d’aujourd’hui.

L’Envol des Pionniers présente sa nouvelle exposition temporaire « Au-delà des limites ». Conçue autour de huit zones présentées à la manière de livres en relief et en taille réelle, l’exposition plonge les visiteurs dans les exploits de huit personnages emblématiques qui ont su dépasser des limites pour réaliser des défis utiles aux autres. Par le biais d’objets personnels, de maquettes, de décors, de récits sonores ou vidéos et de jeux, le public entre en interaction avec les différents personnages et prend part à leur(s) histoire(s). 

4 pionniers d’hier, 

• Ingénieur et chef du bureau d’études de Montaudran, Marcel MOINE réalisa le Laté 28, célèbre hydravion piloté par Jean Mermoz pour la première traversée postale de l’Atlantique Sud
• Le pilote Jean MERMOZ effectua le premier vol de nuit entre Rio et Buenos Aires
• Paul VACHET était en charge du déploiement de nouvelles lignes aériennes pour que le courrier arrive plus rapidement
• La sportive de haut niveau Marie MARVINGT, en plus d’être la 3ème femme pilote au monde, est à l’origine de l’avion sanitaire

et 4 aventuriers d’aujourd’hui, 

• L’aéronaute Bertrand PICCARD est créateur et co-pilote de l’avion solaire Solar Impulse avec lequel il a fait le tour du monde. 
• L’explorateur Christian CLOT a réalisé une expédition dans 4 des milieux les plus extrêmes de la planète pour étudier la capacité d’adaptation du corps humain.
• L’ingénieur Romain CHARLES a participé, pendant 520 jours, au programme expérimental russe Mars 500 qui simulait le voyage aller-retour entre la Terre et Mars.
• L’aviatrice Dorine BOURNETON est la première femme handicapée à être pilote de voltige. 

Ces huit personnalités ont été guidées par des valeurs qui leur ont permis d’aller plus loin et de réaliser les défis qu’elles s’étaient lancées. L’exposition présente également une trentaine de portraits d’audacieuses et d’audacieux afin de montrer aux visiteurs qu’il y a toujours eu des aventuriers, qu’il y en a encore et qu’il y en aura toujours. L’histoire reste à écrire. 

MESURES SANITAIRES
Afin de garantir une sécurité optimale à ses visiteurs et son personnel, L’Envol des Pionniers a mis en place un dispositif d’accueil adapté au contexte sanitaire : distanciation physique pendant tout le parcours de visite, gel hydro alcoolique à disposition, signalétique spécifique, sens de visite unique, … Il est demandé aux visiteurs, dès l’âge de 11 ans, de porter obligatoirement un masque (en tissus ou à usage unique) et de respecter les consignes de sécurité sanitaire. L’ensemble du site est accessible au public. Seules les animations “Volez en Bréguet XIV” et le “Wagon Postal” sont fermées.";;;À partir du 24 mai  ouverture les samedis, dimanches et jours fériés de 10h à 18h jusqu’à la fin du mois de juin. Du mardi au samedi de 10h à 18h.;Du 21/05/2020 au 30/06/2020 - À partir du 24 mai  ouverture les samedis, dimanches et jours fériés de 10h à 18h jusqu’à la fin du mois de juin. Du 01/07/2020 au 30/08/2020 - Du mardi au samedi de 10h à 18h.;;L'ENVOL DES PIONNIERS;La piste des géants;6 rue Jacqueline Auriol;;31400;TOULOUSE;Culturelle;Exposition;Cinéma, Historique, Photographie;Lineo 8, arrêt Piste des Géants;43.5744976;1.4763196;;;www.lenvol-des-pionniers.com;;De 8,00 € à 15,00 €;De 5,00 € à 10,00 €;8 - 12 ans  /  plus de 12 ans;43.5744976,1.4763196
FMAMID031V50IHQC;;EXPOSITION GINO DI MAGGIO « VIVA GINO! UNE VIE DANS L'ART »;La collection de Gino Di Maggio s'expose aux Abattoirs : Futurisme, Fluxus, Nouveau Réalisme, Affichistes, Mono-ha, Gutai, Cinétisme italien, ...;"Les Abattoirs présentent pour la première fois des œuvres acquises au cours du temps par Gino Di Maggio (né en 1940), collectionneur italien qui a côtoyé et promu des artistes qui ont bouleversé la scène artistique internationale à partir des années 50-60. 

Ce projet regroupe une centaine d'oeuvres et 50 artistes, de Yoko Ono à César, de John Cage à Kazuo Shiraga, de Lee Ufan à Robert Filliou et de Daniel Spoerri à Ben Vautier (liste complète des artistes disponible dans le dossier de presse ci-joint).
L’exposition réunit bien plus que des oeuvres exceptionnelles, elle raconte l’his­toire de toute une vie. Comme l'écrit son ami Ben, c'est un manifeste ""pour une autre façon de vivre"" avec l'art et les artistes. Un parcours historique raconte la constitution d'une collection développée au gré des rencontres. Il raconte Gino Di Maggio à travers son engagement vis-à-vis des artistes, par ses travaux d’édition et par les activités de sa fondation milanaise, Mudima, créée en 1989, la première en Italie pour l’Art contemporain.

MESURES SANITAIRES: 
L'entrée se fera uniquement allées Charles de Fitte, les entrées et
sorties seront différenciées. 100 personnes maximum pourront être accueillies en même temps dans le musée. Pour accéder aux expositions, les visiteurs devront porter obligatoirement un masque (non fourni), excepté en-dessous de 11 ans. Les vestiaires seront fermés et les sacs volumineux ne seront pas acceptés. Il n'y aura pas de visites guidées, ni d'accueil de groupes. Du gel hydroalcoolique sera à disposition à l'entrée et pour l'accès aux toilettes.";2020-06-03;2020-11-15;Du mercredi au dimanche de 12h à 18h.;Du 03/06/2020 au 15/11/2020 - Du mercredi au dimanche de 12h à 18h.;;LES ABATTOIRS, MUSEE D'ART MODERNE ET CONTEMPORAIN;;76 Allée Charles de Fitte;;31300;TOULOUSE;Culturelle;Exposition;Art contemporain;Saint Cyprien - République;43.6003101;1.4297862;05 34 51 10 60;;www.lesabattoirs.org;;De  € à 0,00 €  -  De  € à 5,00 €;;;43.6003101,1.4297862
FMAMID031V50A5PH;;EXPOSITION INTERNATIONALE D'ORCHIDEES;Le Groupement Midi Pyrénées des Amateurs d’Orchidées (GMPAO) organise sa 9ème exposition-vente internationale d’orchidées.;"Cette manifestation regroupe :
- 8 exposants producteurs d’orchidées et de renommée mondiale venant de France, d’Italie, d’Allemagne et du Danemark
- Les bijoux « Tendance Orchidées »
- Liloo Tillandsias
- Cédric Carnivores
- Prestige Amaryllis.

Les visiteurs pourront admirer le stand d’exposition des plus belles orchidées des adhérents de l’association mais aussi des photos des orchidées indigènes présentes autour de Toulouse et réalisées par des membres du GMPAO.

Un stand de démonstration de rempotage sera animé par les adhérents qui seront à la disposition des visiteurs pour donner des conseils de culture et répondre à leurs problèmes.
Un rempotage de vos plantes, 2 au maximum, vous sera proposé moyennant participation aux frais (compost et contenant).

Des conférences grand public sont prévues le samedi et le dimanche après-midi.";2020-10-23;2020-10-25;;Du 23/10/2020 au 25/10/2020;;GRANDE HALLE DE L'UNION;;Rue de somport;;31240;L'UNION;Manifestation commerciale, Nature et détente;Animations, Exposition;Fleurs Plantes, Plantes;;43.6558625;1.4810236;05 61 80 58 65;;www.gmpao.org;;3,00 €;;;43.6558625,1.4810236
FMAMID031V50E4RC;;FESTIVAL PIANO AUX JACOBINS;Le prestigieux rendez-vous des amoureux du piano sera de retour en septembre 2020 avec une nouvelle programmation riche des plus grands pianistes et de jeunes talents à découvrir.;Le couvent des Jacobins, partenaire historique du festival, se fera de nouveau l’écrin de ces purs moments d’émotion.;2020-09-03;2020-09-24;;Du 03/09/2020 au 24/09/2020;;COUVENT DES JACOBINS;;Parvis des Jacobins;;31000;TOULOUSE;Culturelle;Festival;;;43.603337;1.440224;;;jacobins.toulouse.fr;;;;;43.603337,1.440224
FMAMID031FS00028;;FESTIVAL RIO LOCO AFRIKA;Pour son 25ème anniversaire en 2020, la thématique sera consacrée pour la 1ère fois à un continent : l’Afrique, plurielle, jeune et créative.;« Mama Afrika » sera au rendez-vous de la Prairie des Filtres, du 17 au 21 juin 2020.;2020-06-17;2020-06-20;;Du 17/06/2020 au 20/06/2020;;PRAIRIE DES FILTRES;;;;31000;TOULOUSE;Musique;Festival;;;43.6043902;1.448302;05 31 22 99 00;;www.rio-loco.org;;;;;43.6043902,1.448302
FMAMID031V50ISHF;;GAD ELMALEH;5 ans après «Sans tambour» et une tournée internationale avec un spectacle en anglais dans plus de 15 pays, Gad Elmaleh est de retour avec un one-man show inédit : «D'Ailleurs».;Dès le 28 avril 2020, Gad Elmaleh sillonnera la France durant près de deux ans avec un 6e spectacle mêlant stand-up et personnages.;2020-12-02;2020-12-02;A 20h.;Le 02/12/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;;Spectacle;Comique;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/gad-elmaleh-2227.html;;;;;43.598264,1.4092542
