Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant;Geo Point
FMAMID031V50AM33;;LES QUATRE SAISONS;"Concert classique.
Orchestre « Les Violons de France »";"Certaines  œuvres ont leur secret. Les Quatre Saisons en possèdent certainement un, elles qui sont parvenues à une telle célébrité dans la musique classique. 
C’est Frédéric Moreau, violon solo qui en interprétera l’intégralité, accompagné par Les Violons de France. Egalement au programme le célèbre adagio d’Albinoni, Le canon de Pachelbel, la cantate Jésus que ma joie demeure de Bach. En cette période de l’Assomption, les Ave Maria de Schubert et de Gounod complèteront ce programme d’environ 1h30.

Au programme :
Les Quatre Saisons de Vivaldi  -  Ave Maria de Schubert et de Gounod
Adagio d’Albinoni – Le Canon de Pachelbel – Jésus, que ma joie demeure de Bach.

Billets en vente : Office de Tourisme, Fnac, ainsi qu’à l’entrée de l’église 1 heure avant le concert.";21/08/2020;21/08/2020;A 20h30.;Le 21/08/2020 - A 20h30.;;EGLISE SAINT EXUPERE;;4 rue Lamarck;;31400;TOULOUSE;Musique;Concert;Musique classique;Palais de Justice;43.5936257;1.4488052;01 42 50 96 18;;;;De 15,00 € à 25,00 €;;;43.5936257,1.4488052
FMAMID031V50IW58;;ALI BABA ET LES QUARANTE VOLEURS (LES CONCERTS EN FAMILLE);"UNE HEURE EN FAMILLE POUR FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE OU APPROFONDIR SES CONNAISSANCES

FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE";"CHRISTOPHE MANGOU
DIRECTION
RÉGIS ROYER
COMÉDIEN

L’univers des Mille et Une nuits met le point final à la saison jeune public. Aime´ de tous, le vaillant et inge´nieux Ali Baba saura-t-il contourner la ruse des brigands ? La musique de Damien Lehman, dont les accents rythmiques et mélodiques s’inspirent de la musique traditionnelle persane, accompagne les trouvailles du face´tieux he´ros.

DAMIEN LEHMAN
MUSIQUE";23/05/2021;23/05/2021;Dimanche à 10h45.;Le 23/05/2021 - Dimanche à 10h45.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;8 - 12 ans  /  plus de 12 ans;43.6002193,1.4533432
FMAMID031V50IW3C;;BATTEMENTS DE CHŒURS (LES CONCERTS EN FAMILLE);"UNE HEURE EN FAMILLE POUR FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE OU APPROFONDIR SES CONNAISSANCES

FAIRE SES PREMIERS PAS AVEC L’ORCHESTRE";"CHRISTOPHE MANGOU DIRECTION
ECLATS
CHŒUR D’ENFANTS ET DE JEUNES
FRANÇOIS TERRIEUX CHEF DU CHŒUR

Le chœur toulousain d’enfants et d’adolescents ECLATS dirigé par François Terrieux s’est imposé comme une formation hors du commun, où les jeunes découvrent l’art du chant et des pratiques collectives. Il fête cette année son quinzième anniversaire. Cette nouvelle saison fait la part belle aux souvenirs d’antan, des Choristes aux répertoires populaires.

JOSEP VILA I CASAÑAS
5 FOLK SONGS
CHANTS DU MONDE
LES CHORISTES
PIÈCES CHORALES TIRÉES DU FILM
LES CHORISTES";06/12/2020;06/12/2020;Dimanche à 10h45 et 15h;Le 06/12/2020 - Dimanche à 10h45 et 15h;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;8 - 12 ans  /  plus de 12 ans;43.6002193,1.4533432
FMAMID031V50IV3M;;BRUCKNER GRANDIOSE , LE FEU AU CLAVIER (ORCHESTRE NATIONAL DU CAPITOLE DE TOULOUSE);"RÊVER, ÉCOUTER, SE RETROUVER

ROBERT TREVINO : DIRECTION";"Couronnement de la symphonie romantique, testament adressé au XIXe siècle… la Symphonie n° 8 de Bruckner est un immense et prodigieux monument de l’orchestre dont l’américain Robert Trevino emprunte les chemins. Une soirée
d’exception pour une œuvre qui ne l’est pas moins. 
 
ANTON BRUCKNER
SYMPHONIE N° 8 EN UT MINEUR, A. 117
(VERSION DE 1890)";14/05/2021;14/05/2021;A 20h.;Le 14/05/2021 - A 20h.;;HALLE AUX GRAINS;;1 Place Dupuy;;31000;TOULOUSE;Musique;Concert;Musique classique;François Verdier;43.6002193;1.4533432;05 61 63 13 13;;www.onct.toulouse.fr;;;;;43.6002193,1.4533432
FMAMID031V50ISHG;;CARMINA BURANA;Evénement musical et chorégraphique, Franceconcert présente Carmina Burana, l’un des chefs d’œuvres les plus célèbres du XXe siècle.;"Fondée sur un recueil de poèmes lyriques, Carmina Burana a été composée par Carl Orff entre 1935 et 1936. Présentée pour la première fois en 1937 à l’Opéra de Francfort, cette pièce magistrale fascine depuis toujours et ne laisse pas indifférent le grand public. Le mouvement le plus célèbre, « O Fortuna », repris à la fin de l’œuvre, est aujourd’hui mondialement connu.

Interprétés avec passion et puissance par les chœurs et les solistes, ces chants profanes et latins nous racontent une histoire de vie, de mort, de destin et surtout d’amour. Près de 100 artistes chantent la joie du retour du printemps et les plaisirs de l’alcool, jouent avec la roue du destin, dansent l’amour et la luxure. Cette nouvelle production s’empare avec sensualité et émotion de ce phénomène musical pour montrer que la musique, le geste et la parole sont inséparables.

Grand succès du XXème siècle joué dans le monde entier, ce spectacle original et plein de fougue ira à la rencontre du public pour une grande tournée européenne à partir de novembre 2020.";04/12/2020;04/12/2020;A 20h30.;Le 04/12/2020 - A 20h30.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/carmina-burana-2169.html;;;;;43.598264,1.4092542
FMAMID031V5079U5;;CASSE NOISETTE;Cette année, le célèbre Bolchoï de Minsk signe son retour exceptionnel en France et viendra vous faire vivre la magie de Noël avec le chef d’œuvre Casse-Noisette !;"Ce conte de Noël raconte l’histoire de la jeune Clara qui reçoit en cadeau un Casse-Noisette en forme de petit bonhomme. Dans une nuit animée d’un mystérieux enchantement, les jouets menés par Casse-Noisette se livrent à une bataille acharnée contre les méchantes souris de la maison. Réveillée par le bruit, Clara décide d’affronter ses peurs en participant au combat et sauve son cher Casse-Noisette du danger. Ému par son courage et plein de gratitude, il se transforme en prince charmant et emmène Clara dans un royaume féérique.

Ballet en deux actes, Casse-Noisette est présenté au public pour la première fois en décembre 1892 à Saint-Pétersbourg au Théâtre Mariinsky. La célèbre musique de Tchaïkovsky interprétée par le talentueux orchestre et la virtuosité des danseurs, sublimés par des décors et costumes époustouflants, feront vibrer petits et grands dans ce monde fantastique. Cette partition inoubliable vous plongera dans une atmosphère magique et vous fera revivre vos rêves d’enfants.

Retrouvez toute la beauté de ce joyau du répertoire classique, idéal en période de Noël.";19/11/2020;19/11/2020;A 20h;Le 19/11/2020 - A 20h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;;Spectacle;;Zénith;43.598264;1.4092542;;;https://zenith-toulousemetropole.com/programmation/casse-noisette-2240.html;;;;;43.598264,1.4092542
FMAMID031V50ISH7;;CHANTAL GOYA;LE SOULIER QUI VOLE, le spectacle mythique de Chantal Goya revient pour fêter 40 ans de scène !;"""Dans un petit village d’Alsace des enfants disent au revoir à leur professeur de musique quand ils aperçoivent dans le ciel une cigogne qui vole auprès d’un énorme Soulier. À l’intérieur, une jeune fille... Les enfants reconnaissent leur amie Marie-Rose. Elle leur présente son amie la cigogne Francette. Le géant Balthazar leur a prêté son Soulier contre la promesse de le lui ramener. Marie-Rose a une belle idée en tête, celle d’emmener tous les enfants dans une Forêt Magique où ils retrouveront leurs amis : le Lapin, le Panda, un Coucou, un Château Nougatine. Arrivés dans la Forêt, ils rencontrent tous leurs amis et, émerveillés, décident de partir dans un petit train vers Animauxville. Là, tout le village est tenu par des animaux : la mairie, le café, la pâtisserie, l’école et l’école de musique. Une grande fête costumée est organisée. Mais le temps passe très vite. Il faut se quitter et repartir en Alsace. La cigogne Francette part la première, puis vient le tour de Marie- Rose dans son beau Soulier qui vole. Elle s’en va rejoindre le Pays des Géants pour rendre, comme promis, le Soulier à son ami Balthazar.""

SUCCÈS / PROLONGATIONS !";31/10/2020;31/10/2020;A 15h;Le 31/10/2020 - A 15h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31000;TOULOUSE;;Spectacle;Jeune public;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/chantal-goya-2233.html;;;;;43.598264,1.4092542
FMAMID031V50IEGL;;CHRISTOPHE MAE;Report du concert initialement prévu le 21 mars 2020.;"Christophe Maé enfin de retour ! Depuis plus d’une décennie, le chanteur enchaîne les succès, chacune de ses tournées crée l’événement.

Christophe Maé sortira son nouveau single « Les gens » le 4 septembre, extrait de son nouvel album à paraître à l’automne, et remontera sur scène dans toute la France en 2020. Ce prochain show ambitieux et généreux nous réserve de nombreuses surprises !";27/10/2020;27/10/2020;A 20h.;Le 27/10/2020 - A 20h.;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/christophe-mae-2199.html;;;;;43.598264,1.4092542
FMAMID031V50IEHR;;EVA;"« On Fleek tout le time, adversaire de taille, enchante´e, c’est Eva. »

La date du concert d'Eva, initialement prévue le 13 mai 2020 au Zénith Toulouse Métropole est reportée au 9 octobre 2020.";"Les billets restent valables pour cette date de report.
Les personnes ne pouvant se rendre au concert reporté, sont invitées à s'adresser à leur point de vente pour effectuer une demande de remboursement jusqu'au 30 juin 2020 conformément aux conditions générales de vente.

La jeune niçoise aux 200 millions de vues youtube avec un disque d'or à son actif et un single de platine ""ON FLEEK"" fera sa première tournée en 2020 dans les Zénith de France. L’ascension fulgurante de la jeune artiste, a^ge´e de seulement 18 ans, justifie des concerts dans de si grandes salles. Eva, est de´ja` conside´re´e comme la re´ve´lation pop urbaine de l’anne´e.
Eva Queen c’est un e´tat d’esprit, des valeurs, un message rempli de force, d’inde´pendance et de fe´minisme, ve´hicule´ et revendique´ par les codes de sa ge´ne´ration.
« On Fleek tout le time, adversaire de taille, enchante´e, c’est Eva. »";09/10/2020;09/10/2020;A 20h;Le 09/10/2020 - A 20h;;ZENITH TOULOUSE METROPOLE;;11 Avenue Raymond Badiou;;31300;TOULOUSE;Musique;Concert;Musique de variété;Zénith;43.598264;1.4092542;;;zenith-toulousemetropole.com/programmation/eva-2229.html;;;;;43.598264,1.4092542
FMAMID031V50IMRF;;EXPOSITION - LA VIE QUOTIDIENNE A TOULOUSE : 1938 - 1944;Venez découvrir dans le nouvel espace d'exposition temporaire du Musée départemental de la Résistance et de la Déportation l'exposition des photographies de Germaine Chaumel du 29 février au 29 août.;"A travers une sélection en grande partie inédite de photographies, le travail sensible de Germaine Chaumel nous apporte un témoignage émouvant du quotidien. Avant-guerre, ses photographies sont l’occasion de voir un mode de vie désuet. Durant la guerre elles nous plongent dans le quotidien de la dictature puis de l'Occupation.

Les photographies qui sont présentées ont été sélectionnées avec Madame Pilar Martinez-Chaumel, petite fille de Germaine.

Tout au long de l'exposition des animations, visites et conférences seront organisées.";16/04/2020;29/08/2020;Du mardi au samedi de 10h à 18h.;Du 16/04/2020 au 29/08/2020 - Du mardi au samedi de 10h à 18h.;;MUSEE DEPARTEMENTAL DE LA RESISTANCE & DE LA DEPORTATION;;52 Allée des Demoiselles;;31400;TOULOUSE;Culturelle;Exposition;Historique;;43.589067;1.456827;05 34 33 17 40;;musee-resistance.haute-garonne.fr/fr/index.html;Oui;;;;43.589067,1.456827
